AUS,2002,86.0,3077.0
ISL,2002,94.0,3214.0
AUT,2002,78.0,3652.0
BEL,2002,71.0,3749.0
IRL,2002,69.0,3583.0
JPN,2002,71.0,2853.0
EST,2002,56.0,3043.0
FRA,2002,63.0,3656.0
URY,2002,51.0,2838.0
CHL,2002,75.0,2900.0
PRT,2002,63.0,3534.0
TWN,2002,56.0,3002.0
ISR,2002,73.0,3698.0
BWA,2002,64.0,2111.0
SVN,2002,60.0,3081.0
POL,2002,40.0,3429.0
CRI,2002,45.0,2765.0
LTU,2002,48.0,3276.0
LVA,2002,37.0,3005.0
CZE,2002,37.0,3243.0
ESP,2002,71.0,3359.0
GEO,2002,24.0,2750.0
NAM,2002,57.0,2215.0
ITA,2002,52.0,3661.0
MUS,2002,45.0,2953.0
SVK,2002,37.0,2800.0
HRV,2002,38.0,2820.0
GRC,2002,42.0,3639.0
JOR,2002,45.0,2938.0
ROU,2002,26.0,3319.0
MYS,2002,49.0,2774.0
HUN,2002,49.0,3075.0
SEN,2002,31.0,2144.0
BLR,2002,48.0,2981.0
JAM,2002,40.0,2795.0
BGR,2002,40.0,2779.0
ZAF,2002,48.0,2906.0
TUN,2002,48.0,3191.0
CHN,2002,35.0,2836.0
TTO,2002,49.0,2790.0
GHA,2002,39.0,2655.0
IND,2002,27.0,2285.0
MAR,2002,37.0,3154.0
TUR,2002,32.0,3607.0
ARG,2002,28.0,2977.0
ALB,2002,25.0,2864.0
LKA,2002,37.0,2331.0
BRA,2002,40.0,2927.0
COL,2002,36.0,2782.0
IDN,2002,19.0,2451.0
PAN,2002,30.0,2346.0
PER,2002,40.0,2337.0
THA,2002,32.0,2630.0
ZMB,2002,26.0,1849.0
TZA,2002,27.0,2109.0
ETH,2002,35.0,1844.0
VNM,2002,24.0,2360.0
PHL,2002,26.0,2393.0
BOL,2002,22.0,2102.0
SLV,2002,34.0,2643.0
ECU,2002,22.0,2238.0
PAK,2002,26.0,2255.0
AZE,2002,20.0,2461.0
KAZ,2002,23.0,2935.0
MWI,2002,29.0,2173.0
MDA,2002,21.0,2569.0
UKR,2002,24.0,3048.0
DOM,2002,35.0,2285.0
HND,2002,27.0,2474.0
MEX,2002,36.0,3103.0
PRY,2002,17.0,2679.0
BGD,2002,12.0,2313.0
GTM,2002,25.0,2359.0
KEN,2002,19.0,2023.0
NGA,2002,16.0,2605.0
NIC,2002,25.0,2291.0
UGA,2002,21.0,2330.0
CMR,2002,22.0,2204.0
MDG,2002,17.0,1947.0
HTI,2002,22.0,1902.0
UZB,2002,29.0,2289.0
ZWE,2002,27.0,2021.0
AGO,2002,17.0,1915.0
NZL,2003,95.0,3120.0
DNK,2003,95.0,3343.0
FIN,2003,97.0,3154.0
NOR,2003,88.0,3437.0
CHE,2003,88.0,3432.0
SWE,2003,93.0,3124.0
CAN,2003,87.0,3518.0
LUX,2003,87.0,3489.0
NLD,2003,89.0,3141.0
GBR,2003,87.0,3400.0
DEU,2003,77.0,3390.0
AUS,2003,88.0,3104.0
ISL,2003,96.0,3236.0
AUT,2003,80.0,3609.0
BEL,2003,76.0,3717.0
IRL,2003,75.0,3592.0
JPN,2003,70.0,2842.0
EST,2003,55.0,3074.0
ARE,2003,52.0,3338.0
FRA,2003,69.0,3587.0
URY,2003,55.0,2835.0
CHL,2003,74.0,2891.0
PRT,2003,66.0,3523.0
TWN,2003,57.0,2991.0
ISR,2003,70.0,3576.0
BWA,2003,57.0,2113.0
SVN,2003,59.0,3113.0
POL,2003,36.0,3421.0
CRI,2003,43.0,2749.0
LTU,2003,47.0,3288.0
LVA,2003,38.0,3047.0
CYP,2003,61.0,2611.0
CZE,2003,39.0,3319.0
ESP,2003,69.0,3297.0
GEO,2003,18.0,2864.0
NAM,2003,47.0,2247.0
ITA,2003,53.0,3621.0
MUS,2003,44.0,2958.0
SVK,2003,37.0,2790.0
HRV,2003,37.0,2868.0
SAU,2003,45.0,3003.0
GRC,2003,43.0,3651.0
JOR,2003,46.0,3076.0
ROU,2003,28.0,3365.0
CUB,2003,46.0,3246.0
MYS,2003,52.0,2794.0
HUN,2003,48.0,3061.0
SEN,2003,32.0,2223.0
BLR,2003,42.0,2821.0
JAM,2003,38.0,2810.0
OMN,2003,63.0,2631.0
BGR,2003,39.0,2757.0
ZAF,2003,44.0,2929.0
TUN,2003,49.0,3240.0
CHN,2003,34.0,2838.0
SRB,2003,23.0,2643.5827113459563
TTO,2003,46.0,2749.0
GHA,2003,33.0,2669.0
IND,2003,28.0,2282.0
MAR,2003,33.0,3203.0
TUR,2003,31.0,3588.0
ARG,2003,25.0,3009.0
KWT,2003,53.0,3501.0
ALB,2003,25.0,2772.0
BIH,2003,33.0,2834.0
LKA,2003,34.0,2330.0
BRA,2003,39.0,3067.0
COL,2003,37.0,2798.0
IDN,2003,19.0,2468.0
PAN,2003,34.0,2365.0
PER,2003,37.0,2278.0
THA,2003,33.0,2642.0
ZMB,2003,25.0,1900.0
TZA,2003,25.0,1983.0
ARM,2003,30.0,2432.0
ETH,2003,25.0,1884.0
VNM,2003,24.0,2416.0
PHL,2003,25.0,2391.0
DZA,2003,26.0,2970.0
BOL,2003,23.0,2117.0
SLV,2003,37.0,2597.0
ECU,2003,22.0,2202.0
PAK,2003,25.0,2312.0
AZE,2003,18.0,2554.0
KAZ,2003,24.0,2973.0
MWI,2003,28.0,2168.0
MLI,2003,30.0,2521.0
MDA,2003,24.0,2555.0
MMR,2003,16.0,2057.0
SLE,2003,22.0,2032.0
UKR,2003,23.0,3052.0
DOM,2003,33.0,2143.0
HND,2003,23.0,2482.0
KGZ,2003,21.0,2624.0
MEX,2003,36.0,3109.0
PRY,2003,16.0,2732.0
BGD,2003,13.0,2350.0
GTM,2003,24.0,2345.0
KEN,2003,19.0,2004.0
LBN,2003,30.0,3198.0
NGA,2003,14.0,2608.0
NIC,2003,26.0,2319.0
UGA,2003,22.0,2382.0
