AFG,1990,0.212456802,2314.0,15.241,48.766954380351535,7.466,77.86578369140625,3.0,-2.738496128,112.5259056,-46.866455078125,2.8645769879221916,19.012204760591857,4.0,0.377303643,1.530548943,0.101854863,4.071831177,17.55346296,4.898022968648751
AFG,1991,0.186743898,2044.0,14.783,49.24836321286466,7.479,77.94989013671875,3.0,-2.663736836,83.546875,-44.1126708984375,2.807033233344555,20.37039640964372,4.5,0.380991177,1.530104634,0.09931279,4.079530935,17.83703164,7.319562069331639
AFG,1992,0.098812604,1891.0,14.362,49.729772045377786,7.502,78.03402709960938,3.0,-2.588720681,78.8818359375,-41.3590087890625,2.749489478766918,22.187828937291304,4.5,0.409908721,1.529283388,0.096691589,4.088358243,18.09254244,8.96374245914583
AFG,1993,0.088362263,1910.0,13.974,50.21118087789091,7.535,78.11813354492188,3.0,-2.507345675,74.2158203125,-38.6053466796875,2.6919457241892815,24.226638176638176,4.5,0.411849247,1.530944208,0.094335662,4.096189897,18.29493066,9.206787827695226
AFG,1994,0.079299491,1820.0,13.616,50.692589710404036,7.572,78.20223999023438,3.0,-2.479657202,69.5498046875,-35.8516845703125,2.6344019696116447,26.15526606010477,5.0,0.394950634,1.532076475,0.092439321,4.099581578,18.42890824,8.078605396751257
AFG,1995,0.071998403,1844.0,13.282,51.17399854291716,7.606,90.0,3.0,-2.465034212,64.884765625,-33.097900390625,2.576858215034008,27.740491070060962,5.0,0.400364461,1.532239481,0.090980373,4.104207325,18.48343981,6.301318995940494
AFG,1996,0.065372973,1843.0,12.964,51.65540737543017,7.629,90.0,3.0,-2.477904069,60.21875,-30.34423828125,2.5193144604563713,28.878223508868672,4.5,0.407254223,1.532683974,0.089708938,4.107500456,18.48119373,4.434813095314081
AFG,1997,0.058997796,1874.0,12.655,52.1368162079433,7.632,100.0,3.0,-2.61028286,3.652026207,-27.590576171875,2.4617707058787346,29.649735012100603,5.0,0.408440646,1.536112966,0.088372222,4.110833677,18.46364752,3.0547475343954664
AFG,1998,0.054572812,1903.0,12.348,52.61822504045642,7.61,100.0,3.0,-2.630914775,5.612709077,-24.8369140625,2.404226951301098,30.23276812792942,5.0,0.398837971,1.539081006,0.087330011,4.114437791,18.4398054,2.3592342828288304
AFG,1999,0.041722442,1852.0,12.037,53.09963387296955,7.561,100.0,3.0,-2.621054569,4.464354677,-22.0831298828125,2.346683196723461,30.896124743436573,5.0,0.422737467,1.542162724,0.0862668,4.117633498,18.40261649,2.58519485686092
AFG,2000,0.038230545,1790.0,11.718,53.58104270548267,7.485,90.0,3.0,-2.611191769,1.862605955,-19.3294677734375,2.2891394421458244,31.829110375884568,5.0,0.438868266,1.54676896,0.08602062,4.118610344,18.36133635,3.392622011350103
AFG,2001,0.038732063,1737.0,11.387,54.0624515379958,7.387,95.0,3.0,-2.505107664,36.890625,0.004722568,2.2315956875681877,33.09589804858622,5.0,0.45059409,1.576023625,0.086517457,4.121381075,18.27806459,4.314130568077188
AFG,2002,0.048411218,1826.0,11.048,54.54386037050892,7.272,78.87515258789062,3.0,-2.203457,0.697308977,0.004561395,2.174051932990551,34.61809576325705,4.5,0.488060553,1.60991678,0.08702272,4.124928216,18.13795077,4.910850146207369
AFG,2003,0.051466649,1892.0,10.704,55.02526920302205,7.148,74.0,3.0,-2.14487361,5.303566215,0.087891253,2.1165081784129143,36.27251018595105,4.0,0.506657184,1.645958882,0.087188911,4.125230492,17.95884904,5.080795026668748
AFG,2004,0.039033809,1967.0,10.356,55.506678035535174,7.016,72.0,3.0,-2.175757467,7.141965082,0.10580903,2.43125786929857,37.87440492601783,4.5,0.523709232,1.681040446,0.088157541,4.126383873,17.78882497,4.977019777869558
AFG,2005,0.052660873,1948.0,10.003,23.0,6.875,68.0,3.0,-2.151195431,7.240349393,1.224148084,1.9920680208750101,39.29521949575713,5.0,0.540925617,1.719707856,0.088933236,4.126907763,17.6479112,4.58091497182537
AFG,2006,0.063461841,1966.0,9.645,26.9293174743652,6.722,69.0,3.0,-2.127422821,1.360214686,2.107123645,1.89623413539531,40.488081671415,5.0,0.545337325,1.733060294,0.09005434,4.128638372,17.53991398,3.885023959720863
AFG,2007,0.085222257,2046.0,9.287,33.0157508850098,6.555,69.0,3.0,-2.103781325,6.426279345,1.9,2.56626783159257,41.510486168550685,5.0,0.562432741,1.745895509,0.091687701,4.129727581,17.4443176,3.389105344267234
AFG,2008,0.1538186,2041.0,8.932,42.4,6.373,71.0,3.0,-2.094053121,14.30651248,1.84,2.33554714346353,42.46281898109855,5.0,0.589611867,1.758505601,0.093588806,4.129655708,17.35711016,3.1598921511000118
AFG,2009,0.241402428,2081.0,8.584,45.2371215820313,6.18,74.0,3.0,-2.043374177,0.421539126,3.55,2.08741266994606,43.49295867414147,5.0,0.604684072,1.773179577,0.095166162,4.129971892,17.27536938,3.285007252697166
AFG,2010,0.293447736,2104.0,8.25,42.7,5.977,76.0,3.0,-2.005645435,-5.1005859375,4.0,1.94583653549399,44.70408203902828,4.5,0.626467638,1.78811467,0.097327199,4.130873885,17.2034503,3.6309543631456895
AFG,2011,0.411531267,2107.0,7.936,43.2220189082037,5.77,75.0,3.0,-2.068196854,2.769407941,5.0,1.8213464845459701,46.13150292558895,5.0,0.646058645,1.790888617,0.098638115,4.130862192,17.13629964,4.028102148355491
AFG,2012,0.349938802,2100.0,7.645,69.1,5.562,74.0,3.0,-2.085661939,0.816089282,5.454545455,1.17541658160723,47.730563980026346,4.0,0.658366215,1.791552952,0.09989075,4.132484788,17.07303701,4.28893801297526
